Date,High,Low,Open,Close,Volume,Adj Close
2000-01-18,10.5,10.5,10.5,10.5,1000.0,10.5
2000-01-19,10.5,10.5,10.5,10.5,0.0,10.5
2000-01-20,10.5,10.5,10.5,10.5,0.0,10.5
2000-01-21,10.5,10.5,10.5,10.5,0.0,10.5
2000-01-24,10.5,10.5,10.5,10.5,0.0,10.5
2000-01-25,10.5,10.5,10.5,10.5,0.0,10.5
2000-01-26,10.5,10.5,10.5,10.5,500.0,10.5
2000-01-27,10.5,10.5,10.5,10.5,0.0,10.5
2000-01-28,15.75,10.5,10.5,10.5,0.0,10.5
2000-01-31,10.5,10.5,10.5,10.5,0.0,10.5
2000-02-01,10.5,10.25,10.25,10.25,0.0,10.25
2000-02-02,10.5,10.25,10.25,10.25,0.0,10.25
2000-02-03,10.5,10.25,10.25,10.25,0.0,10.25
2000-02-04,10.5,10.25,10.25,10.25,0.0,10.25
2000-02-07,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-08,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-09,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-10,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-11,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-14,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-15,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-16,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-17,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-18,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-22,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-23,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-24,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-25,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-28,10.25,10.25,10.25,10.25,0.0,10.25
2000-02-29,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-01,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-02,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-03,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-06,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-07,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-08,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-09,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-10,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-13,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-14,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-15,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-16,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-17,10.25,10.25,10.25,10.25,0.0,10.25
2000-03-20,10.25,10.25,10.25,10.25,475000.0,10.25
2000-03-21,10.25,10.25,10.25,10.25,470000.0,10.25
2000-03-22,10.5,10.25,10.25,10.5,454100.0,10.5
2000-03-23,10.5,10.5,10.5,10.5,450000.0,10.5
2000-03-24,10.5,10.25,10.25,10.5,485000.0,10.5
2000-03-27,10.5,10.5,10.5,10.5,460000.0,10.5
2000-03-28,10.5,10.5,10.5,10.5,192000.0,10.5
2000-03-29,10.5,10.5,10.5,10.5,0.0,10.5
2000-03-30,10.5,10.5,10.5,10.5,0.0,10.5
2000-03-31,10.5,10.5,10.5,10.5,0.0,10.5
2000-04-03,10.5,10.5,10.5,10.5,0.0,10.5
2000-04-04,10.5,10.5,10.5,10.5,0.0,10.5
2000-04-05,10.5,10.5,10.5,10.5,0.0,10.5
2000-04-06,10.5,10.5,10.5,10.5,0.0,10.5
